S	BETX	BETY	DX	DPX	ALFX	ALFY	MUX	MUY
-9.71	1.674999952	23.15215302	0.005140657	-1.29E-02	-1.343263865	-2.094041586	-0.291198043	-0.146438812
-9.7	1.701076746	23.21465111	0.004644765	-1.16E-02	-1.359787822	-2.085474014	-0.290055303	-0.146368597
-9.69	1.727534533	23.2762661	0.00417144	-1.02E-02	-1.376342535	-2.077302456	-0.288932828	-0.146298622
-9.68	1.754355192	23.33692932	0.003720954	-8.97E-03	-1.39291513	-2.069540978	-0.287831573	-0.146228884
-9.67	1.781560302	23.39667511	0.00329286	-7.77E-03	-1.4095186	-2.062190771	-0.286750821	-0.146159325
-9.66	1.809130907	23.45544243	0.002887394	-6.63E-03	-1.426140547	-2.055265665	-0.285691766	-0.146090125
-9.65	1.837078452	23.51322937	0.002504292	-5.56E-03	-1.44278717	-2.048769474	-0.284654168	-0.146020983
-9.64	1.86541605	23.57004929	0.002143324	-4.55E-03	-1.459465504	-2.042708397	-0.283638505	-0.14595208
-9.63	1.894123077	23.6258316	0.001804671	-3.61E-03	-1.476162911	-2.037094116	-0.282644777	-0.145883416
-9.62	1.923223376	23.68060684	0.001487977	-2.73E-03	-1.492892265	-2.031930208	-0.281673459	-0.14581487
-9.61	1.952695251	23.73432159	0.001193294	-1.92E-03	-1.509640694	-2.027224541	-0.280724553	-0.145746623
-9.6	1.982560635	23.78704453	0.000919832	-1.18E-03	-1.52641964	-2.022965908	-0.279797582	-0.145678614
-9.59	2.012794972	23.83877563	0.000667151	-4.94E-04	-1.543215513	-2.019148111	-0.278892545	-0.145610724
-9.58	2.043408394	23.88954735	0.000434494	1.28E-04	-1.560032249	-2.015758753	-0.278008727	-0.145543073
-9.57	2.074410677	23.93943405	0.000221132	6.92E-04	-1.57687521	-2.012786627	-0.277145414	-0.145475541
-9.56	2.105777502	23.98841476	2.65809E-05	1.20E-03	-1.593730211	-2.010223866	-0.276301889	-0.145408307
-9.55	2.137530804	24.03656578	-0.000149958	1.65E-03	-1.610608578	-2.008057594	-0.275478629	-0.145341252
-9.54	2.169645071	24.08388329	-0.000308998	2.05E-03	-1.627496004	-2.006280422	-0.274674682	-0.145274316
-9.53	2.202143192	24.13042831	-0.000451313	2.40E-03	-1.644403696	-2.004879713	-0.27388957	-0.145207559
-9.52	2.234998703	24.17621231	-0.000577441	2.70E-03	-1.661317349	-2.003846884	-0.273122815	-0.14514104
-9.51	2.268235683	24.22128868	-0.000688131	2.95E-03	-1.678248644	-2.003170252	-0.272373704	-0.145074759
-9.5	2.301826716	24.26566315	-0.000783944	3.16E-03	-1.695183039	-2.002840996	-0.271642236	-0.145008539
-9.49	2.335783482	24.3093853	-0.000865575	3.32E-03	-1.712125182	-2.00284791	-0.270928649	-0.144942497
-9.48	2.370117426	24.35249901	-0.000933699	3.44E-03	-1.729080439	-2.003181219	-0.270230321	-0.144876634
